Sample,Value
T1A,0.801731199410389
T1B,0.765983877036495
T1C,0.764422588481292
T2A,0.751181409745812
T2B,0.807661698675649
T2C,0.810531452027274
T3A,0.776405133699595
T3B,0.777676897276636
T3C,0.792589888048578
T4A,0.781287236134252
T4B,0.742962045712288
T4C,0.775676881535949
T5A,0.744385460447725
T5B,0.715928806311082
T5C,0.717597784716635
T6A,0.764829608033544
T6B,0.777243987483625
T6C,0.581056537620424
T7A,0.733441161290498
T7B,0.560322064428732
T7C,0.731212023393371
T8A,0.729470693405073
T8B,0.726523793620091
T8C,0.716670143100421
